,S. No.,Month,InBody/service/Dial,Client,Postal code,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,LB,BSM,Home health,Accesory,Invoice Details,Actual Value,Ta,Total,PaymenReceive(Rs,BalancAmount,Installation Status,Warraty,Incentive date,6month visit,12month visit,18month visit
395,6,December,I,Shweta Gaurav Pande,444601.0,Amravati,Maharashtra,West 1,Wellness,Anees,10.12.2018,IB 270,,,,ACCS,INV-000501,383592.86,46067.14,429660.0,215000.0,214660.0,,,,,,
396,7,December,I,Multifit Wellness Pvt Ltd,500033.0,Hyderabad,Telangana,South,Wellness,Karn,10.12.2018,IB 270,,,,ACCS,INV-000502,334821.43,40178.57,375000.0,100000.0,275000.0,,,,,,
397,8,December,I,"The Inspector General of Police,Grey Hounds",500089.0,Hyderabad,Telangana,South,Governement,Karn,10.12.2018,IB 570,,BSM,BP BIO,ACCS,INV-000503,901785.71,108214.29,1010000.0,0.0,1010000.0,,,,,,
398,9,December,I,First Space Health n Fitness,560102.0,Bangalore,Karnataka,South,Fitness,Karn,10.12.2018,IB 270,LB,,,,INV-000504,419641.04,50358.96,470000.0,200000.0,270000.0,,,,,,
399,10,December,I,Masiv Endeavours Pvt Ltd,520008.0,Vijaywada,Andhra Pradesh,South,Fitness,Taukheer,10.12.2018,IB 270,LB,,,,INV-000505,410709.16,49290.84,460000.0,200000.0,260000.0,,,,,,
400,11,December,I,Individual Learning Pvt Ltd,560095.0,Bangalore,Karnataka,South,Education,Anees,12.12.2018,IB 270,,,,ACCS,INV-000506,456428.58,54771.42,511200.0,511200.0,0.0,,,,,,
401,12,December,B,Harshal B Kolambe,411057.0,Pune,Maharashtra,West 1,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000507,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
402,13,December,B,Srinivasan N,600073.0,Chennai,Tamilnadu,South,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000508,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
403,14,December,B,Sangeeta Singh,263153.0,Rufrapur,Uttarkhand,North,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000509,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
404,15,December,B,Krunal Bhatt,390002.0,Vadodara,Gujrat,West 2,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000510,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
405,16,December,B,Shashi Gupta,400093.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000511,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
406,17,December,B,Pradeep Kumar Meena,345001.0,Jaislmer,Rajasthan,North,Amazon,Amazon,11.12.2018,IB Band,,,,,INV-000512,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
407,18,December,B,Arwa Lokhandwala,421204.0,Mumbai,Maharashtra,West 1,Amazon,Amazon,12.12.2018,IB Band,,,,,INV-000513,1171.42,128.58,1300.0,1300.0,0.0,,,,,,
408,19,December,B,Vasala Reddy,502103.0,Siddipet,Telangana,South,Amazon,Amazon,12.12.2018,IB Band,,,,,INV-000514,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
409,20,December,D,Anshuman Amar,560037.0,Bangalore,Karnataka,South,Amazon,Amazon,13.12.2018,InBody Dial,,,,,INV-000515,4464.28,535.72,5000.0,5000.0,0.0,,,,,,
410,21,December,D,Shivani Sibal,110065.0,Delhi,Delhi,North,Amazon,Amazon,13.12.2018,InBody Dial,,,,,INV-000517,16946.43,2033.57,18980.0,18980.0,0.0,,,,,,
411,22,December,B,Rushikesh,442001.0,Wardha,Maharashtra,West 1,Amazon,Amazon,13.12.2018,InBody Dial,,,,,INV-000518,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
412,23,December,B,Sumit Sawhney,201009.0,Ghaziabad,Uttarpradesh,North,Amazon,Amazon,13.12.2018,IB Band,,,,,INV-000519,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
413,24,December,B,Neeraj Kumar,144001.0,Jalandar,Punjab,North,Amazon,Amazon,13.12.2018,IB Band,,,,,INV-000520,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
414,25,December,B,Pradeep Ray,121001.0,Faridabad,Haryana,North,Amazon,Amazon,14.12.2018,IB Band,,,,,INV-000521,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
415,26,December,I,PYC Hindu Gymkhana,411004.0,Pune,Maharashtra,West 1,Fitness,Ayan,17.12.2018,IB 370S,LB,,,ACCS,INV-000522,495000.0,59400.0,554400.0,554400.0,0.0,,,,,,
416,27,December,I,Health Energy Protection Pvt Ltd,380007.0,Ahmedabad,Gujrat,West 2,Corporate,Mahesh,17.12.2018,IB 270,,,,ACCS,INV-000523,374971.0,45032.0,420003.0,210000.0,210003.0,,,,,,
417,28,December,B,Gurinder,140406.0,Sirhind,Punjab,North,Amazon,Amazon,16.12.2018,IB Band,,,,,INV-000524,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
418,29,December,B,AB Maini,560094.0,Bangalore,Karnataka,South,Amazon,Amazon,16.12.2018,IB Band 2,,,,,INV-000525,2319.64,278.36,2598.0,2598.0,0.0,,,,,,
419,30,December,B,Surender Rana,110059.0,Delhi,New Delhi,North,Amazon,Amazon,16.12.2018,IB Band ,,,,,INV-000526,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
420,31,December,B,Surender Rana,110059.0,Delhi,New Delhi,North,Amazon,Amazon,16.12.2018,IB Band ,,,,,INV-000527,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
421,32,December,B,Vikas Upadhyay,560037.0,Bangalore,Karnataka,South,Amazon,Amazon,17.12.2018,IB Band ,,,,,INV-000528,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
422,33,December,B,Hemalatha,560037.0,Bangalore,Karnataka,South,Amazon,Amazon,17.12.2018,IB Band ,,,,,INV-000529,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
423,34,December,I,Onyx Enterprises,380060.0,Ahmedabad,Gujrat,West 2,Corporate,Sanket/Mahesh,18.12.2018,IB 120,LB,,,ACCS,INV-000530,178794.64,21455.36,200250.0,150000.0,50250.0,,,,,,
424,35,December,S,Shanti's Health n Fitness Club LLP,425001.0,Jalgaon,Maharashtra,West 1,Fitness,Dawson,18.12.2018,Service Contract,,,,ACCS,INV-000531,6000.0,1080.0,7080.0,7080.0,0.0,,,,,,
425,36,December,B,Vijay Karthik,500038.0,Hyderabad,Telangana,South,Amazon,Amazon,18.12.2018,IB Band ,,,,,INV-000532,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
426,37,December,I,Sport Volt Professional Services Pvt Ltd,110066.0,Delhi,Delhi,North,Corporate,Shubham,19.12.2018,IB 270,,,,ACCS,INV-000533,768660.0,92239.2,860899.2,25000.0,835899.2,,,,,,
427,38,December,I,Kaizen Enetrprises,110091.0,Delhi,Delhi,North,Corporate,Shubham,19.12.2018,IB 120,LB,,,ACCS,INV-000534,205425.0,24575.0,230000.0,0.0,230000.0,,,,,,
428,39,December,B,Alok Kumar Madan,246725.0,Bijnor,Uttarpradesh,North,Amazon,Amazon,18.12.2018,IB Band ,,,,,INV-000535,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
429,40,December,B,V Krishnamchari,110092.0,Delhi,New Delhi,North,Amazon,Amazon,18.12.2018,IB Band ,,,,,INV-000536,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
430,41,December,B,Karthik Simakurthy,560017.0,Bangalore,Karnataka,South,Amazon,Amazon,17.12.2018,IB Band ,,,,,INV-000537,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
431,42,December,I,Element Fitness LLP,400076.0,Mumbai,Maharashtra,West 1,Fitness,Anees,21.12.2018,IB 770,LB,,,ACCS,INV-000538,1205651.78,144678.22,1350330.0,600000.0,750330.0,,,,,,
432,,December,I,Element Fitness LLP,400076.0,Mumbai,Maharashtra,West 1,Fitness,Anees,21.12.2018,InKids,,,,,INV-000538,,,,,,,,,,,
433,43,December,I,Athleticism Fitness Club,360007.0,Rajkot,Gujrat,West 2,Fitness,Mahesh,21.12.2018,IB 270,,,,ACCS,INV-000539,374971.0,45032.0,420003.0,150000.0,270003.0,,,,,,
434,44,December,B,Rachkonda G,523357.0,Giddaluru,Andhrapradesh,South,Amazon,Amazon,20.12.2018,IB Band ,,,,,INV-000540,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
435,45,December,B,Abhijeet Gorgile,413512.0,Latur,Maharashtra,West 1,Amazon,Amazon,21.12.2018,IB Band ,,,,,INV-000541,1159.82,139.18,1299.0,1299.0,0.0,,,,,,
